SITE_NAME,Lat,Lon,Veast,Vnorth,Vup,sigEast,sigNorth,sigUp
P302,36.634728132199996,239.3814232772,-0.00757,0.01054,-0.00147,0.00058,0.00023999999999999998,0.00084
P302,36.634728133,239.3814232568,-0.00757,0.01054,-0.00147,0.00058,0.00023999999999999998,0.00084
P302,36.6347281277,239.3814232385,-0.00757,0.01054,-0.00147,0.00058,0.00023999999999999998,0.00084
P304,36.7390049536,239.64339960150002,-0.01040,0.00914,-0.01835,0.00025,0.00045,0.00335
P304,36.739004961300004,239.6433995807,-0.01040,0.00914,-0.01835,0.00025,0.00045,0.00335
P307,36.947270851,239.9420785596,-0.01288,0.01061,-0.03625,8e-05,0.00011,0.00243
P307,36.9472708673,239.94207857150002,-0.01288,0.01061,-0.03625,8e-05,0.00011,0.00243
P514,35.010716969099995,239.5902476505,-0.02830,0.03307,-0.0007599999999999999,0.0003,0.00026000000000000003,0.00131
P514,35.0107169782,239.5902476426,-0.02830,0.03307,-0.0007599999999999999,0.0003,0.00026000000000000003,0.00131
P514,35.010717009699995,239.59024760740002,-0.02830,0.03307,-0.0007599999999999999,0.0003,0.00026000000000000003,0.00131
P514,35.0107169701,239.59024762619998,-0.02830,0.03307,-0.0007599999999999999,0.0003,0.00026000000000000003,0.00131
P516,35.106203248,239.61660514849999,-0.02739,0.03304,0.00059,0.00022999999999999998,0.0002,0.0010400000000000001
P516,35.106203268899996,239.6166051779,-0.02739,0.03304,0.00059,0.00023999999999999998,0.0002,0.0010400000000000001
P516,35.1062032745,239.61660515490001,-0.02739,0.03304,0.00059,0.00022999999999999998,0.0002,0.0010400000000000001
P518,35.0200354411,239.9246902034,-0.02753,0.029769999999999998,0.0002,0.00022999999999999998,0.00028,0.0008900000000000001
P518,35.0200354842,239.92469021830001,-0.02753,0.029769999999999998,0.0002,0.00022999999999999998,0.00028,0.0008900000000000001
P522,35.0866128322,240.4639355054,-0.01890,0.01939,-0.0007099999999999999,9e-05,9e-05,0.00082
P522,35.0866128556,240.4639354749,-0.01890,0.01939,-0.0007099999999999999,0.0001,0.0001,0.00082
P522,35.086612851999995,240.4639355329,-0.01890,0.01939,-0.0007099999999999999,9e-05,9e-05,0.00082
P523,35.3044522184,239.1397241371,-0.02836,0.03538,0.0005099999999999999,0.00016,0.00016999999999999999,0.00085
P523,35.304452248800004,239.1397240802,-0.02835,0.03539,0.0005099999999999999,0.00016,0.00016999999999999999,0.00085
P523,35.3044522712,239.13972407490002,-0.02836,0.03538,0.0005099999999999999,0.00016,0.00016999999999999999,0.00085
P523,35.3044522161,239.1397240295,-0.02836,0.03538,0.0005099999999999999,0.00016,0.00016999999999999999,0.00085
P523,35.3044522805,239.1397240559,-0.02836,0.03538,0.0005099999999999999,0.00016,0.00016999999999999999,0.00085
P524,35.166088125,239.40910030310002,-0.02851,0.03431,-0.0007700000000000001,0.0004,0.0004,0.0017
P525,35.4257699222,239.19185561830002,-0.02776,0.034980000000000004,-0.00067,0.00016,0.00022,0.00079
P525,35.4257699366,239.19185562330003,-0.02776,0.034980000000000004,-0.00067,0.00016,0.00022,0.00079
P526,35.635977003,239.1302597275,-0.02799,0.03157,-0.00106,0.00035,0.00029,0.00098
P526,35.6359769771,239.13025966599997,-0.02799,0.03157,-0.00106,0.00035,0.00029,0.00098
P526,35.6359771145,239.1302597916,-0.02798,0.03157,-0.00106,0.00035,0.00029,0.00098
P527,35.7541463605,239.39524292669998,-0.02555,0.0317,-0.00245,0.00045999999999999996,0.0002,0.00055
P527,35.754146346599995,239.39524291560002,-0.02555,0.0317,-0.00245,0.00045999999999999996,0.0002,0.00055
P528,35.327813574000004,239.45454863849997,-0.02672,0.03344,-0.00013000000000000002,0.00015,0.00013000000000000002,0.0009199999999999999
P528,35.327813565300005,239.4545486325,-0.02672,0.03344,-0.00013000000000000002,0.00015,0.00013000000000000002,0.0009199999999999999
P529,35.4404536779,239.64616915759999,-0.02535,0.0307,0.00058,0.00015,0.00013000000000000002,0.0008
P529,35.440453695500004,239.6461691637,-0.02535,0.0307,0.00058,0.00015,0.00013000000000000002,0.0008
P529,35.4404537076,239.64616917150002,-0.02535,0.03069,0.00058,0.00015,0.00013000000000000002,0.0008
P530,35.6248033236,239.5195635662,-0.02481,0.032369999999999996,-0.00145,0.00016999999999999999,0.00033,0.00058
P530,35.6248032757,239.5195635516,-0.02481,0.032369999999999996,-0.00145,0.00016999999999999999,0.00033,0.00058
P531,35.7926924586,239.4633971298,-0.02477,0.03173,0.0011099999999999999,0.00018,0.00018999999999999998,0.00075
P531,35.792692454299996,239.4633971631,-0.02477,0.03173,0.0011099999999999999,0.00018,0.00018999999999999998,0.00075
P531,35.792692466300004,239.463397195,-0.02477,0.03173,0.0011099999999999999,0.00018,0.00018999999999999998,0.00075
P532,35.6338135277,239.732970929,-0.02178,0.0265,0.00199,0.00014,0.00014,0.0009
P532,35.6338135293,239.7329709334,-0.02178,0.0265,0.00199,0.00014,0.00014,0.0009
P532,35.6338135146,239.7329708909,-0.02178,0.0265,0.00199,0.00014,0.00014,0.0009
P533,35.7479321605,239.6290441571,-0.02194,0.02865,0.00037,0.00018,0.00033,0.00079
P533,35.7479321151,239.6290441532,-0.02194,0.02865,0.00037,0.00018,0.00033,0.00079
P535,35.2351294149,239.8985756238,-0.02533,0.028839999999999998,0.00011999999999999999,9e-05,7e-05,0.00058
P535,35.2351294358,239.8985756259,-0.02533,0.028839999999999998,0.00011999999999999999,9e-05,7e-05,0.00058
P536,35.2797697052,239.9749771907,-0.02397,0.02721,0.00074,0.00013000000000000002,0.00011,0.0009
P536,35.2797697156,239.9749771846,-0.02397,0.02721,0.00074,0.00013000000000000002,0.00011,0.0009
P537,35.3167977611,240.0646569536,-0.02180,0.02472,0.00116,0.00014,0.00011999999999999999,0.00082
P537,35.3167977732,240.06465695720001,-0.02180,0.02472,0.00116,0.00014,0.00011999999999999999,0.00082
P537,35.3167978229,240.0646569166,-0.02180,0.02472,0.00116,0.00014,0.00011999999999999999,0.00082
P538,35.5341753039,239.88749806389998,-0.02097,0.02415,0.00209,0.00013000000000000002,0.00013000000000000002,0.00081
P538,35.534175280300005,239.8874980521,-0.02097,0.02415,0.00209,0.00013000000000000002,0.00013000000000000002,0.00081
P538,35.5341752966,239.8874980738,-0.02097,0.02415,0.00209,0.00013000000000000002,0.00013000000000000002,0.00081
P539,35.7026750541,239.8179477126,-0.01620,0.02009,0.00148,0.00011999999999999999,0.00011999999999999999,0.00078
P539,35.7026750673,239.8179477159,-0.01620,0.02009,0.00148,0.00011999999999999999,0.00011999999999999999,0.00078
P540,35.801280437399996,239.8693622077,-0.01227,0.01575,0.00053,0.00015,0.00013000000000000002,0.00059
P540,35.8012804727,239.8693622309,-0.01227,0.01575,0.00053,0.00015,0.00013000000000000002,0.00059
P541,35.6867327311,239.9993201701,-0.01291,0.01595,0.00149,0.00015,0.00011,0.00074
P541,35.6867327448,239.99932014419997,-0.01291,0.01595,0.00149,0.00015,0.00011,0.00074
P542,35.6889119633,239.7073977661,-0.02157,0.02655,0.00073,0.00014,0.0002,0.00082
P542,35.6889119807,239.7073977775,-0.02157,0.02655,0.00073,0.00014,0.0002,0.00082
P543,35.3189936905,240.2867768294,-0.01630,0.018269999999999998,0.00086,0.00015,0.00015,0.00118
P543,35.3189937123,240.28677685259998,-0.01630,0.018269999999999998,0.00086,0.00015,0.00015,0.00118
P543,35.3189936715,240.286776889,-0.01630,0.018269999999999998,0.00086,0.00015,0.00015,0.00118
P544,35.7312686658,240.26196408599998,-0.01051,0.01277,-0.00732,0.00027,0.00023999999999999998,0.001
P544,35.7312686744,240.26196401080003,-0.01051,0.01277,-0.00732,0.00027,0.00023999999999999998,0.001
P544,35.7312686805,240.26196401119998,-0.01051,0.01277,-0.00732,0.00027,0.00023999999999999998,0.001
P545,35.4998429635,240.4641911966,-0.01148,0.0126,-0.013669999999999998,0.00036,0.00018999999999999998,0.00132
P545,35.4998429538,240.4641911469,-0.01148,0.0126,-0.013669999999999998,0.00036,0.00018999999999999998,0.00132
P546,35.9279049422,239.8451143338,-0.00972,0.01484,0.0018800000000000002,0.00016999999999999999,0.00011999999999999999,0.00074
P546,35.9279049495,239.845114294,-0.00972,0.01484,0.0018800000000000002,0.00016999999999999999,0.00011999999999999999,0.00074
P547,35.9347044901,240.0906379713,-0.00985,0.01329,-0.00126,0.00013000000000000002,0.00022,0.00126
P547,35.934704504,240.0906379766,-0.00985,0.01329,-0.00126,0.00013000000000000002,0.00022,0.00126
P547,35.9347045036,240.0906379578,-0.00985,0.01329,-0.00126,0.00013000000000000002,0.00022,0.00126
P552,35.6867272456,239.75503717330002,-0.02040,0.025269999999999997,0.00149,0.00013000000000000002,0.00018,0.00085
P552,35.6867272559,239.75503717650002,-0.02040,0.025269999999999997,0.00149,0.00013000000000000002,0.00018,0.00085
P563,35.418670185,240.5788328668,-0.01094,0.01256,-0.01013,0.0005200000000000001,0.00037,0.0012900000000000001
P563,35.418670144000004,240.578832823,-0.01094,0.01256,-0.01013,0.0005200000000000001,0.00037,0.0012900000000000001
P564,35.6229123091,240.6506086077,-0.00959,0.014280000000000001,-0.044039999999999996,0.00045999999999999996,0.00037999999999999997,0.00244
P564,35.6229122777,240.6506086823,-0.00959,0.014280000000000001,-0.044039999999999996,0.00045999999999999996,0.00037999999999999997,0.00244
P565,35.7438944144,240.7633456585,-0.01289,0.01087,-0.03501,0.00022,0.00035,0.00457
P565,35.743894427,240.76334570560002,-0.01289,0.01087,-0.03501,0.00022,0.00035,0.00457
P566,36.3244552038,240.7707116063,-0.01120,0.00926,-0.01399,0.00022,9e-05,0.00085
P566,36.324455206799996,240.77071161240002,-0.01120,0.00926,-0.01399,0.00022,9e-05,0.00085
P566,36.3244551788,240.7707116311,-0.01120,0.00926,-0.01399,0.00022,9e-05,0.00085
P576,35.669664429499996,239.0299970186,-0.02687,0.03539,0.00037,0.00036,0.00029,0.0007599999999999999
P576,35.6696644537,239.0299971446,-0.02687,0.03539,0.00037,0.00036,0.00029,0.0007599999999999999
P576,35.6696644181,239.0299970881,-0.02687,0.03539,0.00037,0.00036,0.00029,0.0007599999999999999
P578,35.6943326333,239.7609671646,-0.01862,0.023530000000000002,0.0013,0.00013000000000000002,0.00022,0.0008699999999999999
P578,35.6943326614,239.76096712860002,-0.01862,0.023530000000000002,0.0013,0.00013000000000000002,0.00022,0.0008699999999999999
P578,35.6943326633,239.7609671259,-0.01862,0.023530000000000002,0.0013,0.00013000000000000002,0.00022,0.0008699999999999999
P602,35.7291660746,239.7721053098,-0.01597,0.02009,0.0020800000000000003,0.00018,0.00014,0.00091
P602,35.7291660717,239.7721053055,-0.01597,0.02009,0.0020800000000000003,0.00018,0.00014,0.00091
P602,35.7291661013,239.7721053327,-0.01597,0.02009,0.0020800000000000003,0.00018,0.00014,0.00091
P782,35.6938208205,239.78380709270002,-0.01791,0.02248,0.00259,0.00025,0.00015,0.001
P782,35.6938208193,239.78380713220002,-0.01791,0.02248,0.00259,0.00025,0.00015,0.001
P789,35.9465889306,239.5282699674,-0.01215,0.01813,0.0013599999999999999,0.00031,0.00018,0.00084
P789,35.9465889226,239.52826995549998,-0.01215,0.01813,0.0013599999999999999,0.00031,0.00018,0.00084
P790,35.9291500423,239.48462154700002,-0.02362,0.0308,-0.00159,0.00026000000000000003,0.0002,0.00101
P790,35.929150026,239.48462155869998,-0.02362,0.0308,-0.00159,0.00026000000000000003,0.0002,0.00101
P790,35.9291500409,239.48462158450002,-0.02362,0.0308,-0.00159,0.00026000000000000003,0.0002,0.00101
P809,35.743900366700004,240.7632440495,-0.01341,0.011479999999999999,-0.04752,0.0003,0.00033,0.0069900000000000006
P810,35.743957927800004,240.7632808546,-0.01335,0.01175,-0.04771,0.00028,0.00033,0.00922
PEA1,36.1869074867,239.241403538,-0.00926,0.0116,0.00128,0.00054,0.00061,0.00173
PEA2,36.1805329481,239.2331564996,-0.02815,0.0331,0.00112,0.00043,0.00044,0.0017800000000000001
PKDB,35.9452412902,239.4584394425,-0.02193,0.03069,0.00028,0.00018999999999999998,0.00023999999999999998,0.0007700000000000001
PKDB,35.9452412651,239.4584393719,-0.02193,0.03069,0.00028,0.00018999999999999998,0.00023999999999999998,0.0007700000000000001
PKDB,35.9452412928,239.45843926880002,-0.02193,0.03069,0.00028,0.00018999999999999998,0.00023999999999999998,0.0007700000000000001
PKDB,35.945241193499996,239.45843906919998,-0.02193,0.03069,0.00028,0.00018999999999999998,0.00023999999999999998,0.0007700000000000001
PKDB,35.9452417061,239.4584378871,-0.02193,0.03069,0.00028,0.00018999999999999998,0.00023999999999999998,0.0007700000000000001
PKDB,35.945241668499996,239.4584378868,-0.02193,0.03069,0.00028,0.00018999999999999998,0.00023999999999999998,0.0007700000000000001
POMM,35.9199131488,239.5215629473,-0.01880,0.02872,0.00027,0.0006900000000000001,0.00065,0.0009
POMM,35.9199131173,239.5215627204,-0.01880,0.02872,0.00027,0.0006900000000000001,0.00065,0.0009
POMM,35.9199130596,239.521562591,-0.01880,0.02872,0.00027,0.0006900000000000001,0.00065,0.0009
POMM,35.9199136175,239.5215610142,-0.01880,0.02872,0.00027,0.0006900000000000001,0.00065,0.0009
POMM,35.9199135435,239.5215608685,-0.01880,0.02872,0.00027,0.0006900000000000001,0.00065,0.0009
RAPT,36.6649232691,240.5512943829,-0.00952,0.00922,-0.00882,0.00035,0.0007,0.00466
RBRU,36.7591268743,240.17133177,-0.00702,0.00908,-0.0273,0.00078,0.0005099999999999999,0.00598
RBRU,36.7591268802,240.1713317379,-0.00992,0.00998,-0.02355,0.0005,0.0003,0.0038799999999999998
RBRU,36.759126900700004,240.17133165150003,-0.00992,0.00998,-0.02355,0.0005,0.0003,0.0038799999999999998
RNCH,35.8999968051,239.47517141080002,-0.02325,0.030780000000000002,0.00042,0.00023999999999999998,0.00018,0.00067
RNCH,35.8999966436,239.4751712925,-0.02325,0.030780000000000002,0.00042,0.00023999999999999998,0.00018,0.00067
RNCH,35.899997273000004,239.4751703452,-0.02325,0.030780000000000002,0.00042,0.00023999999999999998,0.00018,0.00067
RNCH,35.8999972537,239.4751702913,-0.02325,0.030780000000000002,0.00042,0.00023999999999999998,0.00018,0.00067
TBLP,35.9174125853,239.63966121619998,-0.01312,0.0173,0.00321,0.00016999999999999999,0.0002,0.00093
TBLP,35.9174125344,239.63966113720002,-0.01312,0.0173,0.00321,0.00016999999999999999,0.0002,0.00093
TBLP,35.9174120111,239.639661952,-0.01312,0.0173,0.00321,0.00016999999999999999,0.0002,0.00093
TBLP,35.9174120421,239.639661925,-0.01312,0.0173,0.00321,0.00016999999999999999,0.0002,0.00093
USLO,35.3118069295,239.3389033434,-0.02825,0.03398,-0.0009400000000000001,0.00011999999999999999,0.00013000000000000002,0.0010400000000000001
USLO,35.3118070138,239.33890335200002,-0.02825,0.03398,-0.0009400000000000001,0.00011999999999999999,0.00013000000000000002,0.0010400000000000001
USLO,35.3118070935,239.33890335290002,-0.02825,0.03398,-0.0009400000000000001,0.00011999999999999999,0.00013000000000000002,0.0010400000000000001
USLO,35.3118071119,239.3389033741,-0.02825,0.03398,-0.0009400000000000001,0.00011999999999999999,0.00013000000000000002,0.0010400000000000001
